Experiment,Total Reads,Aligned Reads % (Transcriptome)
IFNB_2h_S12_rsem,4023384,44.77
IFNB_2h_S14_rsem,5044231,65.1
IFNB_2h_S16_rsem,5813568,53.77
IFNB_2h_S18_rsem,3837964,56.07
IFNB_2h_S19_rsem,4823898,56.45
IFNB_2h_S1_rsem,3100519,39.35
IFNB_2h_S20_rsem,5279928,56.41
IFNB_2h_S21_rsem,6560927,56.92
IFNB_2h_S22_rsem,6854043,44.12
IFNB_2h_S24_rsem,7342786,54.64
IFNB_2h_S2_rsem,4821038,50.53
IFNB_2h_S38_rsem,9217639,45.28
IFNB_2h_S39_rsem,13075676,59.86
IFNB_2h_S40_rsem,11499782,59.65
IFNB_2h_S41_rsem,13374949,48.82
IFNB_2h_S43_rsem,7891631,48.2
IFNB_2h_S46_rsem,13900715,49.06
IFNB_2h_S47_rsem,10920609,59.39
IFNB_2h_S49_rsem,3149978,37.34
IFNB_2h_S4_rsem,2387113,44.55
IFNB_2h_S50_rsem,6947382,50.56
IFNB_2h_S51_rsem,5671773,52.74
IFNB_2h_S52_rsem,3934932,47.73
IFNB_2h_S53_rsem,7124340,55.83
IFNB_2h_S54_rsem,8486600,56.22
IFNB_2h_S55_rsem,5171232,51.75
IFNB_2h_S56_rsem,6413881,48.65
IFNB_2h_S57_rsem,4834155,48.84
IFNB_2h_S58_rsem,5582467,58.28
IFNB_2h_S59_rsem,4173252,50.19
IFNB_2h_S5_rsem,6156984,51.18
IFNB_2h_S60_rsem,6880477,51.65
IFNB_2h_S61_rsem,5970098,43.37
IFNB_2h_S62_rsem,6106203,56.81
IFNB_2h_S63_rsem,3681354,51.77
IFNB_2h_S65_rsem,3634315,57.13
IFNB_2h_S66_rsem,6537503,56.85
IFNB_2h_S67_rsem,3334513,58.14
IFNB_2h_S68_rsem,5149851,53.57
IFNB_2h_S69_rsem,4478034,57.04
IFNB_2h_S70_rsem,4500260,66.78
IFNB_2h_S71_rsem,7236221,59.82
IFNB_2h_S72_rsem,7400291,58.18
IFNB_2h_S74_rsem,5217348,53.09
IFNB_2h_S75_rsem,4337259,60.63
IFNB_2h_S76_rsem,1009785,49.32
IFNB_2h_S78_rsem,6624113,60.31
IFNB_2h_S7_rsem,3368235,51.6
IFNB_2h_S80_rsem,4299417,48.31
IFNB_2h_S83_rsem,6622493,55.48
IFNB_2h_S84_rsem,6307049,65.7
IFNB_2h_S85_rsem,5504926,60.57
IFNB_2h_S86_rsem,6602926,57.56
IFNB_2h_S87_rsem,6161626,60.71
IFNB_2h_S88_rsem,4460548,65.58
IFNB_2h_S89_rsem,7914882,60.17
IFNB_2h_S8_rsem,6585486,64.62
IFNB_2h_S90_rsem,1366517,30.95
IFNB_2h_S92_rsem,6625964,55.13
IFNB_2h_S93_rsem,7670829,49.08
IFNB_2h_S94_rsem,6034309,64.94
IFNB_2h_S95_rsem,1477647,21.67
IFNB_2h_S96_rsem,5173285,59.06
IFNB_2h_S9_rsem,3507983,58.67
Unstimulated_Replicate_S12_rsem,2613330,68.54
Unstimulated_Replicate_S13_rsem,2594312,58.12
Unstimulated_Replicate_S14_rsem,2082910,58.12
Unstimulated_Replicate_S16_rsem,1741669,68.29
Unstimulated_Replicate_S17_rsem,2384629,54.34
Unstimulated_Replicate_S18_rsem,2297687,65.9
Unstimulated_Replicate_S19_rsem,2309276,58.52
Unstimulated_Replicate_S20_rsem,2200422,59.59
Unstimulated_Replicate_S21_rsem,2190806,58.49
Unstimulated_Replicate_S22_rsem,2189577,72.68
Unstimulated_Replicate_S23_rsem,2259029,59.08
Unstimulated_Replicate_S24_rsem,1847593,56.88
Unstimulated_Replicate_S25_rsem,1542108,45.15
Unstimulated_Replicate_S26_rsem,1961951,63.51
Unstimulated_Replicate_S30_rsem,2321778,56.05
Unstimulated_Replicate_S31_rsem,3049187,65.89
Unstimulated_Replicate_S33_rsem,2048039,66.78
Unstimulated_Replicate_S34_rsem,1241150,52.75
Unstimulated_Replicate_S36_rsem,1488692,58.94
Unstimulated_Replicate_S37_rsem,2225835,42.84
Unstimulated_Replicate_S38_rsem,2282667,61.61
Unstimulated_Replicate_S39_rsem,3558227,68.54
Unstimulated_Replicate_S3_rsem,1386962,67.27
Unstimulated_Replicate_S40_rsem,2288807,68.94
Unstimulated_Replicate_S41_rsem,3240053,71.46
Unstimulated_Replicate_S42_rsem,1599829,52.58
Unstimulated_Replicate_S43_rsem,2235729,77.03
Unstimulated_Replicate_S46_rsem,2031103,57.62
Unstimulated_Replicate_S47_rsem,1530055,61.71
Unstimulated_Replicate_S4_rsem,1512628,67.11
Unstimulated_Replicate_S52_rsem,2766468,59.71
Unstimulated_Replicate_S53_rsem,2398577,56.09
Unstimulated_Replicate_S54_rsem,2293981,60.95
Unstimulated_Replicate_S59_rsem,2559412,56.92
Unstimulated_Replicate_S5_rsem,1830654,52.86
Unstimulated_Replicate_S61_rsem,2226388,54.16
Unstimulated_Replicate_S62_rsem,2422213,61.25
Unstimulated_Replicate_S64_rsem,3259165,67.86
Unstimulated_Replicate_S65_rsem,4177975,57.1
Unstimulated_Replicate_S66_rsem,2141807,66.89
Unstimulated_Replicate_S67_rsem,1729798,59.09
Unstimulated_Replicate_S68_rsem,1539888,43.23
Unstimulated_Replicate_S6_rsem,1701236,65.54
Unstimulated_Replicate_S71_rsem,2029992,65.73
Unstimulated_Replicate_S72_rsem,2066755,56.14
Unstimulated_Replicate_S73_rsem,2810561,65.85
Unstimulated_Replicate_S74_rsem,2202618,60.74
Unstimulated_Replicate_S75_rsem,3175139,71.89
Unstimulated_Replicate_S76_rsem,1337475,60.3
Unstimulated_Replicate_S78_rsem,2692439,62.67
Unstimulated_Replicate_S80_rsem,2197486,49.99
Unstimulated_Replicate_S84_rsem,2260796,63.1
Unstimulated_Replicate_S87_rsem,2345185,73.36
Unstimulated_Replicate_S88_rsem,3604331,58.2
Unstimulated_Replicate_S89_rsem,2923148,53.12
Unstimulated_Replicate_S90_rsem,2019703,75.43
Unstimulated_Replicate_S92_rsem,1634280,51.72
LPS_1h_S10_rsem,3462546,46.6
LPS_1h_S11_rsem,6050843,48.25
LPS_1h_S12_rsem,6004656,50.69
LPS_1h_S13_rsem,9165165,47.15
LPS_1h_S14_rsem,6112002,53.12
LPS_1h_S15_rsem,11888184,46.35
LPS_1h_S16_rsem,7979607,57.45
LPS_1h_S17_rsem,7793156,53.11
LPS_1h_S18_rsem,4709651,49.08
LPS_1h_S19_rsem,3277006,50.07
LPS_1h_S1_rsem,6497512,55.96
LPS_1h_S20_rsem,9153135,49.11
LPS_1h_S21_rsem,10917061,53.81
LPS_1h_S22_rsem,6929919,43.06
LPS_1h_S23_rsem,8395088,68.97
LPS_1h_S24_rsem,7417874,61.04
LPS_1h_S25_rsem,7107798,51.6
LPS_1h_S26_rsem,5034405,50.12
LPS_1h_S27_rsem,6448630,42.95
LPS_1h_S28_rsem,6947831,45.99
LPS_1h_S29_rsem,4081180,43.28
LPS_1h_S2_rsem,4288679,38.43
LPS_1h_S30_rsem,4479813,50.4
LPS_1h_S31_rsem,4959299,43.68
LPS_1h_S32_rsem,8213444,61.38
