Experiment,Total Reads,Aligned Reads % (Transcriptome)
Unstimulated_S59_rsem,9216335,51.32
Unstimulated_S5_rsem,7967630,51.33
Unstimulated_S60_rsem,10879271,57.69
Unstimulated_S61_rsem,7621039,58.79
Unstimulated_S62_rsem,9053907,55.23
Unstimulated_S63_rsem,8193276,49.72
Unstimulated_S64_rsem,12165879,54.89
Unstimulated_S65_rsem,11298276,51.56
Unstimulated_S66_rsem,8937587,52.09
Unstimulated_S68_rsem,10695983,48.07
Unstimulated_S69_rsem,11394016,52.44
Unstimulated_S6_rsem,6732191,44.63
Unstimulated_S70_rsem,8696132,48.3
Unstimulated_S71_rsem,8314698,51.88
Unstimulated_S72_rsem,10410498,41.6
Unstimulated_S73_rsem,10058278,43.61
Unstimulated_S74_rsem,7907967,47.26
Unstimulated_S75_rsem,10363443,47.97
Unstimulated_S76_rsem,6081710,40.82
Unstimulated_S77_rsem,8659013,48.72
Unstimulated_S78_rsem,8755559,54.35
Unstimulated_S79_rsem,8325169,43.53
Unstimulated_S80_rsem,8745913,44.71
Unstimulated_S82_rsem,7129797,58.54
Unstimulated_S83_rsem,4940158,38.3
Unstimulated_S84_rsem,558132,35.98
Unstimulated_S86_rsem,8210297,57.48
Unstimulated_S87_rsem,10403408,51.72
Unstimulated_S88_rsem,9185037,54.64
Unstimulated_S89_rsem,9778430,47.05
Unstimulated_S8_rsem,10430027,30.04
Unstimulated_S90_rsem,6278109,52.22
Unstimulated_S91_rsem,12475610,59.05
Unstimulated_S92_rsem,7433489,55.18
Unstimulated_S93_rsem,10907868,54.54
Unstimulated_S94_rsem,7482907,52.82
Unstimulated_S96_rsem,11402626,54.33
Unstimulated_S9_rsem,12448046,56.26
LPS_4h_Replicate_S11_rsem,9909753,54.73
LPS_4h_Replicate_S12_rsem,9976593,66.17
LPS_4h_Replicate_S13_rsem,11742047,48.28
LPS_4h_Replicate_S15_rsem,7914694,54.32
LPS_4h_Replicate_S16_rsem,5406332,50.64
LPS_4h_Replicate_S17_rsem,13336756,52.13
LPS_4h_Replicate_S19_rsem,11030984,60.72
LPS_4h_Replicate_S1_rsem,10258499,53.37
LPS_4h_Replicate_S20_rsem,8933679,54.43
LPS_4h_Replicate_S21_rsem,12708481,68.1
LPS_4h_Replicate_S23_rsem,13043333,67.72
LPS_4h_Replicate_S24_rsem,13578080,49.12
LPS_4h_Replicate_S25_rsem,16077667,59.09
LPS_4h_Replicate_S26_rsem,7524591,54.17
LPS_4h_Replicate_S28_rsem,10674812,49.32
LPS_4h_Replicate_S30_rsem,11544240,51.99
LPS_4h_Replicate_S32_rsem,12377323,44.16
LPS_4h_Replicate_S33_rsem,13291085,57.8
LPS_4h_Replicate_S34_rsem,12567653,61.48
LPS_4h_Replicate_S35_rsem,13117285,56.68
LPS_4h_Replicate_S36_rsem,12871764,47.08
LPS_4h_Replicate_S37_rsem,10400629,52.61
LPS_4h_Replicate_S38_rsem,4406239,55.66
LPS_4h_Replicate_S39_rsem,7466540,52.22
LPS_4h_Replicate_S3_rsem,7721212,51.53
LPS_4h_Replicate_S41_rsem,12139964,52.05
LPS_4h_Replicate_S43_rsem,8698125,56.09
LPS_4h_Replicate_S44_rsem,9048607,49.24
LPS_4h_Replicate_S45_rsem,11638296,51.81
LPS_4h_Replicate_S46_rsem,12395247,48.28
LPS_4h_Replicate_S47_rsem,11913154,48.35
LPS_4h_Replicate_S48_rsem,9771474,55.14
LPS_4h_Replicate_S49_rsem,9019354,43.29
LPS_4h_Replicate_S4_rsem,5947989,70.7
LPS_4h_Replicate_S51_rsem,12107640,57.38
LPS_4h_Replicate_S52_rsem,6793106,66.23
LPS_4h_Replicate_S53_rsem,13218631,69.03
LPS_4h_Replicate_S54_rsem,7127933,60.65
LPS_4h_Replicate_S56_rsem,8416386,61.86
LPS_4h_Replicate_S5_rsem,11319730,42.29
LPS_4h_Replicate_S60_rsem,14025725,56.67
LPS_4h_Replicate_S61_rsem,11791791,57.32
LPS_4h_Replicate_S62_rsem,13052630,58.64
LPS_4h_Replicate_S63_rsem,4726461,25.28
LPS_4h_Replicate_S64_rsem,7611987,60.12
LPS_4h_Replicate_S65_rsem,18042325,53.39
LPS_4h_Replicate_S66_rsem,9345433,59.9
LPS_4h_Replicate_S69_rsem,15662084,52.36
LPS_4h_Replicate_S6_rsem,6309949,50.44
LPS_4h_Replicate_S70_rsem,10360226,55.36
LPS_4h_Replicate_S71_rsem,14694791,46.83
LPS_4h_Replicate_S72_rsem,12704635,45.53
LPS_4h_Replicate_S73_rsem,11046745,54.42
LPS_4h_Replicate_S74_rsem,11713720,50.5
LPS_4h_Replicate_S75_rsem,10020512,54.39
LPS_4h_Replicate_S76_rsem,2580635,55.25
LPS_4h_Replicate_S77_rsem,15805540,60.61
LPS_4h_Replicate_S78_rsem,10028075,64.48
LPS_4h_Replicate_S80_rsem,7556107,50.79
LPS_4h_Replicate_S81_rsem,12969104,57.37
LPS_4h_Replicate_S82_rsem,8280806,52.91
LPS_4h_Replicate_S84_rsem,12152644,58.79
LPS_4h_Replicate_S85_rsem,8438298,54.57
LPS_4h_Replicate_S86_rsem,8000151,57.46
LPS_4h_Replicate_S87_rsem,9821483,50.48
LPS_4h_Replicate_S89_rsem,13922481,53.78
LPS_4h_Replicate_S8_rsem,10154568,40.78
LPS_4h_Replicate_S90_rsem,6279686,59.42
LPS_4h_Replicate_S91_rsem,7685967,49.03
LPS_4h_Replicate_S92_rsem,9630865,45.54
LPS_4h_Replicate_S93_rsem,12375851,42.16
LPS_4h_Replicate_S94_rsem,8543154,54.62
LPS_4h_Replicate_S96_rsem,11678254,46.76
LPS_4h_Replicate_S9_rsem,11019223,57.21
PAM_1h_S10_rsem,3650251,37.22
PAM_1h_S12_rsem,1968287,21.98
PAM_1h_S14_rsem,5978175,53.2
PAM_1h_S15_rsem,8954030,48.85
PAM_1h_S17_rsem,6792395,44.93
PAM_1h_S18_rsem,8140555,41.91
PAM_1h_S19_rsem,5820577,48.12
PAM_1h_S1_rsem,7507750,47.4
PAM_1h_S20_rsem,3228511,42.68
PAM_1h_S21_rsem,7975600,46.17
PAM_1h_S22_rsem,2642214,30.26
PAM_1h_S23_rsem,9088368,50.98
PAM_1h_S25_rsem,8079183,53.92
PAM_1h_S26_rsem,8721334,53.67
PAM_1h_S27_rsem,8107430,44.73
PAM_1h_S28_rsem,9411690,58.59
PAM_1h_S2_rsem,6005197,51.92
PAM_1h_S30_rsem,8401795,49.23
PAM_1h_S31_rsem,10536297,49.93
PAM_1h_S33_rsem,5302376,41.87
PAM_1h_S34_rsem,4087467,25.25
PAM_1h_S36_rsem,5739342,37.3
PAM_1h_S37_rsem,7053219,45.31
PAM_1h_S38_rsem,8539827,43.98
PAM_1h_S39_rsem,1692554,31.41
PAM_1h_S3_rsem,6237420,49.91
PAM_1h_S40_rsem,6617855,46.41
PAM_1h_S41_rsem,10543185,46.34
PAM_1h_S43_rsem,2236395,47.41
PAM_1h_S44_rsem,4048770,48.78
PAM_1h_S45_rsem,10589899,48.85
PAM_1h_S46_rsem,8598873,46.12
PAM_1h_S47_rsem,6989147,31.82
PAM_1h_S49_rsem,10207923,46.6
PAM_1h_S4_rsem,3796219,47.28
PAM_1h_S50_rsem,2382716,50.09
PAM_1h_S51_rsem,1376365,31.24
PAM_1h_S54_rsem,7730146,49.59
PAM_1h_S55_rsem,2025063,35.03
PAM_1h_S56_rsem,5522529,46.3
PAM_1h_S57_rsem,1830438,33.39
PAM_1h_S58_rsem,7757120,39.88
PAM_1h_S59_rsem,7907397,42.35
PAM_1h_S5_rsem,6922746,46.74
PAM_1h_S60_rsem,2752532,36.4
PAM_1h_S61_rsem,4207230,47.66
PAM_1h_S62_rsem,4243742,50.44
PAM_1h_S63_rsem,2006651,37.73
PAM_1h_S64_rsem,1622944,36.66
PAM_1h_S68_rsem,1991096,34.26
PAM_1h_S6_rsem,4520203,41.51
PAM_1h_S70_rsem,2967609,42.5
PAM_1h_S71_rsem,11052422,50.48
PAM_1h_S72_rsem,9650648,47.42
PAM_1h_S77_rsem,2073109,42.58
PAM_1h_S7_rsem,7412896,53.22
PAM_1h_S80_rsem,8642874,57.17
PAM_1h_S82_rsem,1347479,37.77
PAM_1h_S84_rsem,1200934,18.65
PAM_1h_S89_rsem,1681492,39.52
PAM_1h_S8_rsem,6693988,54.38
PAM_1h_S96_rsem,8291811,56.03
PAM_1h_S9_rsem,5432626,53.43
PAM_2h_S11_rsem,6286688,52.22
PAM_2h_S13_rsem,4903012,51.39
PAM_2h_S15_rsem,5359109,50.42
PAM_2h_S16_rsem,5599893,48.69
PAM_2h_S18_rsem,2301858,51.07
PAM_2h_S1_rsem,5810315,46
PAM_2h_S20_rsem,3660471,57.54
PAM_2h_S21_rsem,1919253,29.47
PAM_2h_S22_rsem,4788966,45.49
PAM_2h_S23_rsem,4252044,49.23
PAM_2h_S25_rsem,4275595,52.4
PAM_2h_S26_rsem,3719836,41.95
PAM_2h_S27_rsem,3398091,52.03
PAM_2h_S2_rsem,7020017,51.17
PAM_2h_S30_rsem,4508332,52.9
PAM_2h_S31_rsem,5453597,43.35
PAM_2h_S32_rsem,5868504,45.21
PAM_2h_S33_rsem,3993491,51.38
PAM_2h_S34_rsem,4120062,56.16
PAM_2h_S35_rsem,4708320,39.4
PAM_2h_S36_rsem,7700540,49.16
PAM_2h_S37_rsem,5566274,46.18
PAM_2h_S39_rsem,4099989,44.91
PAM_2h_S3_rsem,4261018,26.77
PAM_2h_S40_rsem,4336523,58.66
PAM_2h_S42_rsem,4033182,59.7
PAM_2h_S43_rsem,5270789,50.85
PAM_2h_S46_rsem,5935971,50.7
PAM_2h_S49_rsem,6043079,56.2
PAM_2h_S50_rsem,1933926,28.13
PAM_2h_S51_rsem,5906104,45.22
PAM_2h_S52_rsem,4481591,30
PAM_2h_S55_rsem,6228992,58.34
PAM_2h_S56_rsem,4105301,43.21
PAM_2h_S58_rsem,6456118,56.79
PAM_2h_S59_rsem,6740481,54.47
PAM_2h_S61_rsem,6356748,44.45
PAM_2h_S62_rsem,7552840,55.9
PAM_2h_S63_rsem,8098167,51.55
PAM_2h_S64_rsem,7903548,50.89
PAM_2h_S66_rsem,6191279,55.29
PAM_2h_S67_rsem,5621059,52.63
PAM_2h_S68_rsem,4682117,39.63
PAM_2h_S69_rsem,6072322,54.05
PAM_2h_S6_rsem,2093361,41.47
PAM_2h_S70_rsem,4357178,33.33
PAM_2h_S72_rsem,8871959,51.41
PAM_2h_S73_rsem,8992840,55.18
PAM_2h_S74_rsem,7278771,55.87
PAM_2h_S75_rsem,6038357,54.9
PAM_2h_S77_rsem,7433234,45.4
PAM_2h_S78_rsem,3420863,39.58
PAM_2h_S7_rsem,4359573,53.53
PAM_2h_S80_rsem,7226659,54.18
PAM_2h_S81_rsem,6024420,46.89
PAM_2h_S82_rsem,6680016,60.57
PAM_2h_S83_rsem,4062260,36.59
PAM_2h_S84_rsem,8925656,51.38
PAM_2h_S86_rsem,6513212,55.66
PAM_2h_S87_rsem,6965112,46.74
PAM_2h_S88_rsem,5340295,48.58
PAM_2h_S8_rsem,2389271,33
PAM_2h_S90_rsem,6384143,57.34
PAM_2h_S91_rsem,7180156,53.03
PAM_2h_S92_rsem,7641238,50.02
PAM_2h_S93_rsem,5265681,62.74
PAM_4h_S10_rsem,2802297,40.95
PAM_4h_S14_rsem,4176222,59.1
PAM_4h_S15_rsem,5418352,60.94
PAM_4h_S18_rsem,4727618,59.01
PAM_4h_S1_rsem,4990653,52.92
PAM_4h_S24_rsem,5998087,57.48
PAM_4h_S25_rsem,4231751,49.44
PAM_4h_S26_rsem,3416397,59.06
PAM_4h_S27_rsem,5816472,51.09
PAM_4h_S28_rsem,3902046,67.4
PAM_4h_S2_rsem,5628558,70.82
PAM_4h_S30_rsem,3919061,51.03
PAM_4h_S31_rsem,3145667,41.57
PAM_4h_S32_rsem,1555621,44.28
PAM_4h_S33_rsem,3530747,52.9
PAM_4h_S34_rsem,4379524,53.97
PAM_4h_S38_rsem,5112167,51.92
PAM_4h_S39_rsem,2850072,46.37
PAM_4h_S41_rsem,3583797,45.89
PAM_4h_S42_rsem,2447444,47.34
PAM_4h_S44_rsem,3748621,48.58
PAM_4h_S45_rsem,4063248,55.07
PAM_4h_S46_rsem,5670803,44.83
PAM_4h_S47_rsem,3930679,46.33
PAM_4h_S50_rsem,1629211,51.46
PAM_4h_S51_rsem,4979002,53.02
PAM_4h_S52_rsem,4482229,54.67
PAM_4h_S55_rsem,3163782,38.67
PAM_4h_S56_rsem,4515503,49.14
PAM_4h_S57_rsem,3232288,51.01
PAM_4h_S58_rsem,4094927,50.72
PAM_4h_S59_rsem,4045130,47.78
PAM_4h_S5_rsem,5823028,51.29
PAM_4h_S61_rsem,3004767,36.49
PAM_4h_S62_rsem,6216255,53.71
PAM_4h_S64_rsem,7360297,54.55
PAM_4h_S65_rsem,5423160,54.04
PAM_4h_S67_rsem,4209390,43.84
PAM_4h_S68_rsem,4769420,49.03
PAM_4h_S69_rsem,2528876,55.47
PAM_4h_S6_rsem,4056212,53.17
PAM_4h_S72_rsem,8985561,45.95
PAM_4h_S73_rsem,4793450,51.7
PAM_4h_S76_rsem,1981308,50.18
PAM_4h_S79_rsem,5285524,53.56
PAM_4h_S7_rsem,6557076,56.26
PAM_4h_S80_rsem,3783606,34.85
PAM_4h_S85_rsem,3135396,46.94
PAM_4h_S86_rsem,4324575,55.65
PAM_4h_S87_rsem,2972484,43.32
PAM_4h_S89_rsem,4371887,65.63
PAM_4h_S90_rsem,4350120,46.01
PAM_4h_S91_rsem,3140317,56.62
PAM_4h_S92_rsem,5106336,48.68
PAM_4h_S93_rsem,1161888,49.36
PAM_4h_S96_rsem,6808217,55.82
PAM_4h_S9_rsem,4088918,64.97
PAM_6h_S11_rsem,5387232,60.3
PAM_6h_S13_rsem,4267942,42.7
PAM_6h_S16_rsem,4144656,55.59
PAM_6h_S17_rsem,4333299,67.87
PAM_6h_S19_rsem,5645295,51.66
PAM_6h_S20_rsem,2378804,49.66
PAM_6h_S21_rsem,5706763,51.86
PAM_6h_S24_rsem,3891918,59.24
PAM_6h_S27_rsem,6646802,52.29
PAM_6h_S29_rsem,5892552,53.82
PAM_6h_S30_rsem,2065713,69.02
PAM_6h_S32_rsem,5015507,51.69
PAM_6h_S36_rsem,4569479,47.45
PAM_6h_S38_rsem,4818561,51.42
PAM_6h_S39_rsem,4270345,53.06
PAM_6h_S3_rsem,4626138,41.78
PAM_6h_S44_rsem,4669874,50.43
PAM_6h_S48_rsem,6260252,62.55
PAM_6h_S55_rsem,3288631,56.43
PAM_6h_S56_rsem,4384472,54.53
PAM_6h_S57_rsem,5408170,46.14
PAM_6h_S58_rsem,3998815,53.19
PAM_6h_S65_rsem,5085662,47.45
PAM_6h_S67_rsem,6357489,53.65
PAM_6h_S68_rsem,4388234,48.37
PAM_6h_S6_rsem,3396651,66.97
PAM_6h_S70_rsem,5978170,53.34
PAM_6h_S71_rsem,6989764,55.92
PAM_6h_S75_rsem,9334314,61.46
PAM_6h_S77_rsem,5213072,49.36
PAM_6h_S79_rsem,5823776,55.57
PAM_6h_S7_rsem,3937467,55.12
PAM_6h_S85_rsem,2258159,59.59
PAM_6h_S86_rsem,5524559,55.17
PAM_6h_S8_rsem,3839669,62.06
PAM_6h_S94_rsem,5228994,53.08
PAM_6h_S96_rsem,4039328,50.39
PAM_6h_S9_rsem,4926481,71.42
PIC_1h_S10_rsem,3185691,39.8
PIC_1h_S11_rsem,3499974,39.46
PIC_1h_S13_rsem,3854693,36.07
PIC_1h_S15_rsem,4630259,35.24
PIC_1h_S16_rsem,5812259,43.49
PIC_1h_S17_rsem,5648531,50.32
PIC_1h_S18_rsem,2970018,45.65
PIC_1h_S19_rsem,7614079,37.61
PIC_1h_S1_rsem,2813219,36.79
PIC_1h_S20_rsem,4714686,51.48
PIC_1h_S23_rsem,4646500,46.04
PIC_1h_S24_rsem,6466054,52.56
PIC_1h_S25_rsem,4039907,42.04
PIC_1h_S27_rsem,3634428,45.04
PIC_1h_S28_rsem,5844938,58.69
PIC_1h_S2_rsem,4261735,40.72
PIC_1h_S30_rsem,5900570,53.22
PIC_1h_S31_rsem,5747871,42.45
PIC_1h_S32_rsem,6111102,42.76
PIC_1h_S34_rsem,2768373,46.76
PIC_1h_S35_rsem,7119055,51.79
PIC_1h_S36_rsem,5606886,36.98
PIC_1h_S37_rsem,2020542,37.73
PIC_1h_S38_rsem,4602379,47.82
PIC_1h_S3_rsem,7444310,39.1
PIC_1h_S41_rsem,4575227,42.08
PIC_1h_S43_rsem,4852011,41.81
PIC_1h_S44_rsem,5353837,39.68
PIC_1h_S45_rsem,5639858,44.85
PIC_1h_S47_rsem,5818228,56.63
PIC_1h_S48_rsem,2633846,34.1
PIC_1h_S50_rsem,3951334,43.26
PIC_1h_S51_rsem,3737829,41.74
PIC_1h_S53_rsem,5824995,43.8
PIC_1h_S54_rsem,4031629,39.01
PIC_1h_S55_rsem,4666511,34.03
PIC_1h_S58_rsem,3612605,40.95
PIC_1h_S59_rsem,6643893,57.64
PIC_1h_S60_rsem,8561306,42
PIC_1h_S61_rsem,5492899,40.65
PIC_1h_S63_rsem,4365792,46.08
PIC_1h_S64_rsem,4079973,29.89
PIC_1h_S65_rsem,10063811,42.52
PIC_1h_S67_rsem,2293506,24
PIC_1h_S69_rsem,3189659,26.94
PIC_1h_S6_rsem,2187628,34.45
PIC_1h_S70_rsem,3096351,32.61
PIC_1h_S71_rsem,6850767,53.34
PIC_1h_S73_rsem,2066312,18.93
PIC_1h_S74_rsem,4050657,51.35
PIC_1h_S75_rsem,1662858,30.44
PIC_1h_S77_rsem,5852476,38.08
PIC_1h_S78_rsem,6194790,62.61
PIC_1h_S79_rsem,5995035,45.03
PIC_1h_S80_rsem,5158789,44.33
PIC_1h_S85_rsem,3248580,44.89
PIC_1h_S86_rsem,3260181,44.03
PIC_1h_S87_rsem,1664027,28.99
PIC_1h_S88_rsem,4205552,37.55
PIC_1h_S89_rsem,5641693,44.43
PIC_1h_S8_rsem,5434620,36.3
PIC_1h_S90_rsem,3354685,45.35
PIC_1h_S91_rsem,1856500,25.83
PIC_1h_S94_rsem,4279989,43.12
PIC_1h_S95_rsem,4666168,50.89
PIC_1h_S96_rsem,10040692,46.7
PIC_1h_S9_rsem,2946955,58.88
PIC_2h_S10_rsem,5656699,46.67
PIC_2h_S11_rsem,6654817,57.46
PIC_2h_S12_rsem,4669331,50.06
PIC_2h_S13_rsem,4484407,42.61
PIC_2h_S14_rsem,3917155,49.97
PIC_2h_S15_rsem,5459873,52.02
PIC_2h_S16_rsem,3661950,42.33
PIC_2h_S18_rsem,5486926,50.06
PIC_2h_S19_rsem,4532565,44.27
PIC_2h_S23_rsem,7228544,48.11
PIC_2h_S25_rsem,5486604,45.32
PIC_2h_S26_rsem,4910840,50.99
PIC_2h_S27_rsem,5619820,51.04
PIC_2h_S28_rsem,6529040,52.17
PIC_2h_S29_rsem,4323706,53.37
PIC_2h_S2_rsem,2998543,47.35
PIC_2h_S30_rsem,4669230,49.07
PIC_2h_S32_rsem,4137372,23.79
PIC_2h_S34_rsem,6127959,46.95
PIC_2h_S35_rsem,6628192,48.55
PIC_2h_S37_rsem,4097970,41.76
PIC_2h_S38_rsem,3999328,39.88
PIC_2h_S40_rsem,4226044,43.79
PIC_2h_S41_rsem,6155928,51.37
PIC_2h_S44_rsem,3614951,31.29
PIC_2h_S45_rsem,2098648,43.05
PIC_2h_S47_rsem,4624329,45.75
PIC_2h_S50_rsem,4011745,49.99
PIC_2h_S51_rsem,5414693,42.82
PIC_2h_S52_rsem,3605076,48.75
PIC_2h_S53_rsem,8054156,55.83
PIC_2h_S55_rsem,6056122,47.64
PIC_2h_S56_rsem,5525865,50.1
PIC_2h_S57_rsem,5292939,42.4
PIC_2h_S59_rsem,3376377,29.65
PIC_2h_S5_rsem,4616756,36.24
PIC_2h_S60_rsem,8302223,51.95
PIC_2h_S61_rsem,3008478,40.47
PIC_2h_S63_rsem,5204553,43.86
PIC_2h_S64_rsem,6551711,55.39
PIC_2h_S65_rsem,4716946,42.58
PIC_2h_S66_rsem,2180671,55.13
PIC_2h_S67_rsem,5746104,48.76
PIC_2h_S68_rsem,5820671,49.48
PIC_2h_S69_rsem,8426487,47.03
PIC_2h_S6_rsem,3583074,55.12
PIC_2h_S70_rsem,4120755,30.87
PIC_2h_S71_rsem,5944348,51.82
PIC_2h_S72_rsem,8944715,52.27
PIC_2h_S74_rsem,3497031,40.07
PIC_2h_S75_rsem,5135307,42.21
PIC_2h_S76_rsem,2035077,63.21
PIC_2h_S77_rsem,6002620,65.79
PIC_2h_S80_rsem,4507670,44.27
PIC_2h_S82_rsem,6178064,42.09
PIC_2h_S85_rsem,1062282,38.16
PIC_2h_S87_rsem,2027525,49.34
PIC_2h_S89_rsem,5927331,47.38
PIC_2h_S8_rsem,2782829,39.31
PIC_2h_S93_rsem,3203610,36.64
PIC_2h_S95_rsem,6119550,52.91
PIC_2h_S9_rsem,5122608,55.04
PIC_4h_S10_rsem,3422705,56.24
PIC_4h_S13_rsem,4140993,45.41
PIC_4h_S14_rsem,6410296,48.64
PIC_4h_S15_rsem,2914088,44.09
PIC_4h_S19_rsem,5945920,38.23
PIC_4h_S1_rsem,2168153,39.06
PIC_4h_S20_rsem,3088969,49.19
PIC_4h_S21_rsem,4721117,42.76
PIC_4h_S22_rsem,3059134,46.84
PIC_4h_S23_rsem,4749018,49.37
PIC_4h_S25_rsem,7519383,55.14
PIC_4h_S26_rsem,3155809,40.92
PIC_4h_S27_rsem,5702418,46.45
PIC_4h_S29_rsem,3499708,45.23
PIC_4h_S30_rsem,4495710,53.17
PIC_4h_S32_rsem,7134167,52.31
PIC_4h_S33_rsem,4647563,43.61
PIC_4h_S34_rsem,3704372,49.91
PIC_4h_S35_rsem,5344924,51.52
PIC_4h_S36_rsem,4266695,47.53
PIC_4h_S37_rsem,5734358,56.13
PIC_4h_S38_rsem,4992396,42.55
PIC_4h_S39_rsem,4710783,43.84
PIC_4h_S3_rsem,6208517,41.23
PIC_4h_S43_rsem,4482933,42.86
PIC_4h_S45_rsem,4653429,35.18
PIC_4h_S46_rsem,3700222,40.93
PIC_4h_S47_rsem,4463475,49.61
PIC_4h_S4_rsem,2151975,49.72
PIC_4h_S50_rsem,4172392,43.71
PIC_4h_S51_rsem,5451975,44.7
PIC_4h_S52_rsem,5051242,47.45
PIC_4h_S54_rsem,2611814,57.83
PIC_4h_S55_rsem,4914005,60.48
PIC_4h_S58_rsem,4553814,53.21
PIC_4h_S59_rsem,6280378,44.09
PIC_4h_S5_rsem,7220527,43.28
PIC_4h_S60_rsem,5212442,49.8
PIC_4h_S61_rsem,6709773,47.01
PIC_4h_S63_rsem,6794615,39.86
PIC_4h_S64_rsem,10298905,57.22
PIC_4h_S65_rsem,6769039,52.97
PIC_4h_S67_rsem,7402109,42.56
PIC_4h_S68_rsem,3257815,51.58
PIC_4h_S69_rsem,4923771,39.94
PIC_4h_S6_rsem,3636718,51.87
PIC_4h_S72_rsem,5008503,48.38
PIC_4h_S73_rsem,4392803,47.67
PIC_4h_S74_rsem,7357218,59.25
PIC_4h_S76_rsem,1971323,51.56
PIC_4h_S77_rsem,9726257,58.23
PIC_4h_S79_rsem,8758485,40.93
PIC_4h_S81_rsem,5055610,50.75
PIC_4h_S83_rsem,5995987,45.58
PIC_4h_S87_rsem,10688027,59.68
PIC_4h_S88_rsem,5808048,64.03
PIC_4h_S89_rsem,7761074,47.83
PIC_4h_S8_rsem,3731788,38.03
PIC_4h_S90_rsem,2291367,47.24
PIC_4h_S91_rsem,8036753,43.79
PIC_4h_S92_rsem,4128308,45.09
PIC_4h_S93_rsem,5634861,45.17
PIC_4h_S94_rsem,3640700,51.2
PIC_4h_S95_rsem,3532673,35.82
PIC_6h_S14_rsem,2158528,51.87
PIC_6h_S15_rsem,1336865,23.73
PIC_6h_S17_rsem,2459011,38.98
PIC_6h_S18_rsem,1815463,18.75
PIC_6h_S27_rsem,1812006,17.12
PIC_6h_S28_rsem,1970892,18.2
PIC_6h_S29_rsem,1358378,50.05
PIC_6h_S30_rsem,1232874,36.5
PIC_6h_S32_rsem,1512616,36.66
PIC_6h_S36_rsem,1809694,24.9
PIC_6h_S38_rsem,1312218,54.18
PIC_6h_S41_rsem,1315930,25.18
PIC_6h_S46_rsem,1523185,29.53
PIC_6h_S48_rsem,1060232,62.79
PIC_6h_S52_rsem,1888562,18.2
PIC_6h_S58_rsem,2174391,42.04
PIC_6h_S59_rsem,1310118,48.5
PIC_6h_S61_rsem,1129129,17.58
PIC_6h_S62_rsem,1717885,51.37
PIC_6h_S66_rsem,2199780,51.77
PIC_6h_S70_rsem,1675209,56.03
PIC_6h_S71_rsem,1563599,59.34
PIC_6h_S72_rsem,1517216,27.39
PIC_6h_S74_rsem,1544956,42.45
PIC_6h_S7_rsem,1555615,23.64
PIC_6h_S83_rsem,1401499,53.36
PIC_6h_S94_rsem,1179720,35.12
PIC_6h_S95_rsem,1465508,19.57
Stat1_KO_LPS_4h_S12_rsem,1147917,62.19
Stat1_KO_LPS_4h_S14_rsem,1603214,55.56
Stat1_KO_LPS_4h_S17_rsem,1274011,49.63
Stat1_KO_LPS_4h_S1_rsem,2594337,54.64
Stat1_KO_LPS_4h_S20_rsem,1170321,63.16
Stat1_KO_LPS_4h_S22_rsem,1529731,47.27
Stat1_KO_LPS_4h_S23_rsem,1543608,52.77
Stat1_KO_LPS_4h_S24_rsem,1885286,53.48
Stat1_KO_LPS_4h_S25_rsem,1656345,66.49
Stat1_KO_LPS_4h_S27_rsem,1058562,36.24
Stat1_KO_LPS_4h_S28_rsem,1167546,63.84
Stat1_KO_LPS_4h_S31_rsem,1751951,53.14
Stat1_KO_LPS_4h_S35_rsem,1729334,55.83
Stat1_KO_LPS_4h_S36_rsem,1025622,39.52
Stat1_KO_LPS_4h_S37_rsem,1524364,51.06
Stat1_KO_LPS_4h_S38_rsem,1291357,54.78
Stat1_KO_LPS_4h_S39_rsem,1170816,39.23
Stat1_KO_LPS_4h_S3_rsem,1951878,53.8
Stat1_KO_LPS_4h_S40_rsem,1277522,63.09
Stat1_KO_LPS_4h_S47_rsem,1590779,58.29
Stat1_KO_LPS_4h_S48_rsem,1542228,67.17
Stat1_KO_LPS_4h_S4_rsem,1375419,60.93
Stat1_KO_LPS_4h_S52_rsem,1248486,62.37
Stat1_KO_LPS_4h_S53_rsem,1058379,58.52
Stat1_KO_LPS_4h_S61_rsem,1302706,53.36
Stat1_KO_LPS_4h_S62_rsem,1379427,56.98
Stat1_KO_LPS_4h_S63_rsem,1244287,64.13
Stat1_KO_LPS_4h_S64_rsem,1090086,63.5
Stat1_KO_LPS_4h_S65_rsem,1326508,51.75
Stat1_KO_LPS_4h_S66_rsem,1894215,55.15
Stat1_KO_LPS_4h_S69_rsem,1241106,50.41
Stat1_KO_LPS_4h_S72_rsem,1957031,65.31
Stat1_KO_LPS_4h_S78_rsem,1177180,62.99
Stat1_KO_LPS_4h_S7_rsem,1345481,62.11
Stat1_KO_LPS_4h_S84_rsem,1436285,43.15
Stat1_KO_LPS_4h_S85_rsem,1002884,46.86
Stat1_KO_LPS_4h_S88_rsem,1100588,70.43
Stat1_KO_LPS_4h_S8_rsem,1371270,60.76
Tnfr_KO_LPS_4h_S13_rsem,1697026,60.85
Tnfr_KO_LPS_4h_S14_rsem,2035139,62.43
Tnfr_KO_LPS_4h_S16_rsem,1561183,56.51
Tnfr_KO_LPS_4h_S18_rsem,2589427,59.36
Tnfr_KO_LPS_4h_S19_rsem,1750679,65.29
Tnfr_KO_LPS_4h_S20_rsem,2366233,60.05
Tnfr_KO_LPS_4h_S21_rsem,2370936,59.08
